   tty        sd0           sd1           sd2            cpu
 tin tout kps tps serv  kps tps serv  kps tps serv   us sy st id
 tin tout kps tps serv  kps tps serv  kps tps serv   us sy st id
   0    0 377573 370   27    0   0    0    0   0    0    0  3  0 97
   0    0 376454 508   17    0   0    0    0   0    0    0  8  0 92
   0    0 428889 422    5    0   0    0    0   0    0    0  3  0 97
   0    0 380839 375    8    0   0    0    0   0    0    0  3  0 97
   0    0 427442 425   17    0   0    0    0   0    0    0  3  0 97
   0    0 431023 424   23    0   0    0    0   0    0    0  3  0 97
   0    0 396812 530   13    0   0    0    0   0    0    0  6  0 93
   0    0 387172 381    5    0   0    0    0   0    0    0  3  0 97
   0    0 413089 413    5    0   0    0    0   0    0    0  3  0 97
   0    0 470861 469   21    0   0    0    0   0    0    0  3  0 97
   0    0 499675 488   20    0   0    0    0   0    0    0  0  0 100
   0    0 468989 614    6    0   0    0    0   0    0    0  6  0 94
   0    0 497088 485    4    0   0    0    0   0    0    0  3  0 97
   0    0 465791 462   14    0   0    0    0   0    0    0  3  0 97
   0    0 396094 633   13    0   0    0    0   0    0    0  7  0 92
   0    0 394700 396    5    0   0    0    0   0    0    0  3  0 97
   0    0 378879 370    5    0   0    0    0   0    0    0  3  0 97
   0    0 387053 378   20    0   0    0    0   0    0    0  3  0 97
   0    0 401552 398   25    0   0    0    0   0    0    0  0  0 100
   tty        sd0           sd1           sd2            cpu
 tin tout kps tps serv  kps tps serv  kps tps serv   us sy st id
   0    0 438188 511   12    0   0    0    0   0    0    0  3  0 97
   0    0 442375 433    5    0   0    0    0   0    0    0  3  0 97
   0    0 441349 431   17    0   0    0    0   0    0    0  3  0 97
   0    0 423590 414   24    0   0    0    0   0    0    0  1  0 99
   0    0 406570 552   15    0   0    0    0   0    0    0  4  0 96
   0    0 428161 418    5    0   0    0    0   0    0    0  3  0 97
   0    0 427111 424    5    0   0    0    0   0    0    0  3  0 97
   0    0 434005 424   15    0   0    0    0   0    0    0  3  0 97
   0    0 403147 591    6    0   0    0    0   0    0    0  7  0 93
   0    0 440402 430    5    0   0    0    0   0    0    0  3  0 97
   0    0 482028 471   10    0   0    0    0   0    0    0  3  0 97
   0    0 459547 460   22    0   0    0    0   0    0    0  2  0 98
   0    0 413667 489   12    0   0    0    0   0    0    0  4  0 96
   0    0 424988 415    5    0   0    0    0   0    0    0  3  0 97
   0    0 409635 400   24    0   0    0    0   0    0    0  3  0 97
   0    0 421823 412   24    0   0    0    0   0    0    0  2  0 98
   0    0 416835 407   24    0   0    0    0   0    0    0  0  0 100
   0    0 431734 600    4    0   0    0    0   0    0    0  6  0 94
   0    0 446195 436    5    0   0    0    0   0    0    0  3  0 97
   tty        sd0           sd1           sd2            cpu
 tin tout kps tps serv  kps tps serv  kps tps serv   us sy st id
   0    0 490848 479   18    0   0    0    0   0    0    0  3  0 97
   0    0 446794 610    5    0   0    0    0   0    0    0  7  0 93
   0    0 444730 435    5    0   0    0    0   0    0    0  3  0 97
   0    0 501341 490   15    0   0    0    0   0    0    0  3  0 97
   0    0 421950 413   24    0   0    0    0   0    0    0  3  0 97
   0    0 463117 525   10    0   0    0    0   0    0    0  4  0 96
   0    0 500245 490    4    0   0    0    0   0    0    0  3  0 97
   0    0 485534 476   20    0   0    0    0   0    0    0  3  0 96
   0    0 496401 491   20    0   0    0    0   0    0    0  1  0 99
   0    0 450300 569   10    0   0    0    0   0    0    0  4  0 95
   0    0 448413 438    4    0   0    0    0   0    0    0  3  0 97
   0    0 446484 436   13    0   0    0    0   0    0    0  3  0 97
   0    0 382159 510   14    0   0    0    0   0    0    0  8  0 92
   0    0 396112 390    5    0   0    0    0   0    0    0  3  0 97
   0    0 499377 493    9    0   0    0    0   0    0    0  3  0 96
   0    0 454292 444   22    0   0    0    0   0    0    0  3  0 97
   0    0 493334 483   21    0   0    0    0   0    0    0  1  0 99
   0    0 465327 654   10    0   0    0    0   0    0    0  5  0 95
   0    0 429097 419    5    0   0    0    0   0    0    0  3  0 97
   tty        sd0           sd1           sd2            cpu
 tin tout kps tps serv  kps tps serv  kps tps serv   us sy st id
   0    0 432127 422    8    0   0    0    0   0    0    0  3  0 97
   0    0 437902 428   23    0   0    0    0   0    0    0  3  0 97
   0    0 409635 400   25    0   0    0    0   0    0    0  1  0 99
   0    0 413874 501   17    0   0    0    0   0    0    0  3  0 97
   0    0 404514 395    5    0   0    0    0   0    0    0  3  0 97
   0    0 409605 400    6    0   0    0    0   0    0    0  3  0 97
   0    0 466654 627   10    0   0    0    0   0    0    0  7  0 93
   0    0 444361 438    4    0   0    0    0   0    0    0  3  0 97
   0    0 453640 443    4    0   0    0    0   0    0    0  3  0 97
   0    0 454633 444   20    0   0    0    0   0    0    0  3  0 97
   0    0 462930 461   22    0   0    0    0   0    0    0  2  0 98
   0    0 454123 639    9    0   0    0    0   0    0    0  5  0 94
   0    0 482060 491    4    0   0    0    0   0    0    0  3  0 97
   0    0 512037 500   10    0   0    0    0   0    0    0  3  0 97
   0    0 520196 508   20    0   0    0    0   0    0    0  3  0 97
   0    0 489120 626   14    0   0    0    0   0    0    0  3  0 97
   0    0 454266 447    4    0   0    0    0   0    0    0  4  0 96
   0    0 448141 441    4    0   0    0    0   0    0    0  3  0 97
   0    0 477331 545   15    0   0    0    0   0    0    0  8  0 92
   tty        sd0           sd1           sd2            cpu
 tin tout kps tps serv  kps tps serv  kps tps serv   us sy st id
   0    0 503411 492   20    0   0    0    0   0    0    0  6  0 94
   0    0 486902 478   21    0   0    0    0   0    0    0  5  0 95
   0    0 503927 492   20    0   0    0    0   0    0    0  0  0 100
   0    0 509970 498   20    0   0    0    0   0    0    0  0  0 100
   0    0 495348 487   20    0   0    0    0   0    0    0  0  0 100
   0    0 521451 510   20    0   0    0    0   0    0    0  0  0 100
   0    0 515102 503   20    0   0    0    0   0    0    0  0  0 100
   0    0 463399 456   22    0   0    0    0   0    0    0  0  0 100
   0    0 437976 431   23    0   0    0    0   0    0    0  0  0 100
   0    0 427086 554   17    0   0    0    0   0    0    0  4  0 96
   0    0 416954 408   24    0   0    0    0   0    0    0  2  0 98
   0    0 374864 368   27    0   0    0    0   0    0    0  0  0 100
   0  558 426440 432    6    0   0    0    0   0    0    0  2  0 98
   0    0 427110 417    5    0   0    0    0   0    0    0  0  0 100
   0    0 250046 525    4    0   0    0    0   0    0    0  0  0 100
   0    0   0   0    0    0   0    0    0   0    0    0  0  0 100
   0    0   0   0    0    0   0    0    0   0    0    0  0  0 100
   0    0   0   0    0    0   0    0    0   0    0    0  0  0 100
   0    0   0   0    0    0   0    0    0   0    0    0  1  0 99
   tty        sd0           sd1           sd2            cpu
 tin tout kps tps serv  kps tps serv  kps tps serv   us sy st id
   0    0 186  85    8    0   0    0    0   0    0    0  0  0 100
   0    0   0   0    0    0   0    0    0   0    0    0  0  0 100
   0    0   0   0    0    0   0    0    0   0    0    0  0  0 100
   0    0   0   0    0    0   0    0    0   0    0    0  0  0 100
   0    0   0   0    0    0   0    0    0   0    0    0  0  0 100
   0    0 1040 154    5    0   0    0    0   0    0    0  1  0 99
   0    0 2285 349    0    0   0    0    0   0    0    0  1  0 99
   0    0   0   0    0    0   0    0    0   0    0    0  0  0 100
   0  428 2486 236    1    0   0    0    0   0    0    0  0  0 100
   0    0   0   0    0    0   0    0    0   0    0    0  0  0 100
   0    0   0   0    0    0   0    0    0   0    0    0  0  0 100
   0    0   0   0    0    0   0    0    0   0    0    0  0  0 100
   0    0   0   0    0    0   0    0    0   0    0    0  0  0 100
